"Size","Orien","Match","Probe","Target","correct_response"
"S","V","N","The candy stick is in the candy box.","STI_EXP02/SMALL/candycane01a_r.jpg","/"
"S","H","Y","The carrot is on the shelf in the supermarket.","STI_EXP02/SMALL/carrot01.jpg","/"
"S","H","Y","The corn is dropped on the ground.","STI_EXP02/SMALL/cornhusk.jpg","/"
"S","H","Y","The daisy is droped on the ground.","STI_EXP02/SMALL/daisy.jpg","/"
"S","H","Y","The dust pan is left on the floor.","STI_EXP02/SMALL/dustpan.jpg","/"
"S","H","Y","The fishing rod is hold by the fisher.","STI_EXP02/SMALL/fishingrod.jpg","/"
"S","H","Y","The fork is above the dish.","STI_EXP02/SMALL/fork.jpg","/"
"S","H","Y","The funnel is on the kitchen table.","STI_EXP02/SMALL/funnel.jpg","/"
"S","H","Y","The glue is on the desk.","STI_EXP02/SMALL/gluetube.jpg","/"
"S","H","N","The hat is hanged on the wall.","STI_EXP02/SMALL/hat.jpg","/"
"S","H","N","The lego is on the vertical plane.","STI_EXP02/SMALL/interlockingbuildingblock03b.jpg","/"
"S","H","N","The jeans is on the wall.","STI_EXP02/SMALL/jeans01.jpg","/"
"S","H","N","The key chain is on the wall.","STI_EXP02/SMALL/keychain.jpg","/"
"S","H","N","The leek is plucked by the farmer.","STI_EXP02/SMALL/leek.jpg","/"
"S","H","N","The measuring spoon is on the rack.","STI_EXP02/SMALL/measuringspoon.jpg","/"
"S","H","N","The gloves is on the rack.","STI_EXP02/SMALL/mitten04.jpg","/"
"S","H","N","The nail is sticked on the floor.","STI_EXP02/SMALL/nail.jpg","/"
"S","V","Y","The photo frame is on the desk.","STI_EXP02/SMALL/pictureframe04_r.jpg","/"
"S","V","Y","The razor is in the cup.","STI_EXP02/SMALL/razor01_r.jpg","/"
"S","V","Y","The screwdriver is used by the worker.","STI_EXP02/SMALL/screwdriver04b_r.jpg","/"
"S","V","Y","The sea shell is picked up by the tourist.","STI_EXP02/SMALL/seashell01_r.jpg","/"
"S","V","Y","The shoe is against the wall.","STI_EXP02/SMALL/shoe_r.jpg","/"
"S","V","Y","The stapler is in the pencase.","STI_EXP02/SMALL/stapler03a_r.jpg","/"
"S","V","Y","The clipers is in the guest's hand.","STI_EXP02/SMALL/tongs01b_r.jpg","/"
"S","V","Y","The plastic bottle is on the shelf.","STI_EXP02/SMALL/waterbottle01b_r.jpg","/"
"F","F","F","The mattress is in the bed room.","STI_EXP02/Filler/020-baignoire_bathtub.jpg","z"
"F","F","F","The giant refinery is beside the street.","STI_EXP02/Filler/024-tonneau_barrel.jpg","z"
"F","F","F","The film is in the camera.","STI_EXP02/Filler/025-barre_bar.jpg","z"
"F","F","F","The capsule is on the table.","STI_EXP02/Filler/027-batterie_drum-set.jpg","z"
"F","F","F","The sew is in the toolbox.","STI_EXP02/Filler/034-biberon_feeding-bottle.jpg","z"
"F","F","F","The hamburger is on the plate.","STI_EXP02/Filler/035-bibliotheque_book-shelves.jpg","z"
"F","F","F","The candle is on the altar.","STI_EXP02/Filler/041-bonbon_candy.jpg","z"
"F","F","F","The cassette is in the recorder.","STI_EXP02/Filler/071-bateau_boat.jpg","z"
"F","F","F","The apple is on the table.","STI_EXP02/Filler/075-carte_playing-card.jpg","z"
"F","F","F","The eardrop is beside the box.","STI_EXP02/Filler/078-cassette_cassette.jpg","z"
"F","F","F","The rice is in the farm.","STI_EXP02/Filler/089-chronometre_stop-watch.jpg","z"
"F","F","F","The lifebuoy is on the deck.","STI_EXP02/Filler/093-chapiteau_big-top.jpg","z"
"F","F","F","The cargo train is running on the rail road.","STI_EXP02/Filler/156-hot-dog_hot-dog.jpg","z"
"F","F","F","The battlecruiser is sailing on the sea.","STI_EXP02/Filler/166-klaxon_horn.jpg","z"
"F","F","F","The double bed is in the room.","STI_EXP02/Filler/240-pont_bridge.jpg","z"
"F","F","F","The cruise is leaving the duck.","STI_EXP02/Filler/260-sapin_fir-tree.jpg","z"
"F","F","F","The police car is running on the road.","STI_EXP02/Filler/282-tractopelle_digger.jpg","z"
"F","F","F","The speedboat is sailing to the pier.","STI_EXP02/Filler/293-usine_factory.jpg","z"
"F","F","F","The cow is living in the farm.","STI_EXP02/Filler/294-ventilateur_fan.jpg","z"
"F","F","F","The church is beside the square.","STI_EXP02/Filler/airhockeytable.jpg","z"
"F","F","F","The hut is in the forest.","STI_EXP02/Filler/barn.jpg","z"
"F","F","F","The warship is sailing to the harbor.","STI_EXP02/Filler/boxtrailer.jpg","z"
"F","F","F","The electric locomotive is running in the tunnel.","STI_EXP02/Filler/briefcaseclosed.jpg","z"
"F","F","F","The coop is in the garden.","STI_EXP02/Filler/candle08b.jpg","z"
"F","F","F","The tent is on the ground.","STI_EXP02/Filler/castle.jpg","z"
"F","F","F","The SUV is running on the road.","STI_EXP02/Filler/castletower.jpg","z"
"F","F","F","The ladder truck is running on the road.","STI_EXP02/Filler/chair.jpg","z"
"F","F","F","The dryer is in the bathroom.","STI_EXP02/Filler/church.jpg","z"
"F","F","F","The winch is in the factory","STI_EXP02/Filler/cooler01.jpg","z"
"F","F","F","The hangar is beside the air plane.","STI_EXP02/Filler/cow.jpg","z"
"F","F","F","The lighthouse is in the entrance of the harbor.","STI_EXP02/Filler/cruiseship.jpg","z"
"F","F","F","The double mattress is in the shop.","STI_EXP02/Filler/dentalfloss03b.jpg","z"
"F","F","F","The castle is on the hill.","STI_EXP02/Filler/desk02.jpg","z"
"F","F","F","The cargo ship is sailing to the harbor.","STI_EXP02/Filler/dryingmachine02.jpg","z"
"F","F","F","The truck is in the parking lot.","STI_EXP02/Filler/earring01.jpg","z"
"F","F","F","The ball is on the billiard table.","STI_EXP02/Filler/faucet.jpg","z"
"F","F","F","The calculator is on the desk.","STI_EXP02/Filler/ferry.jpg","z"
"F","F","F","The Swiss army knife is on the table.","STI_EXP02/Filler/filmroll.jpg","z"
"F","F","F","The alarm clock is on the bed.","STI_EXP02/Filler/flower.jpg","z"
"F","F","F","The flashlight is in the suitcase.","STI_EXP02/Filler/freighttruck.jpg","z"
"F","F","F","The Rubik's Cube is on the shelf.","STI_EXP02/Filler/fridge.jpg","z"
"F","F","F","The computer monitor is on the desk.","STI_EXP02/Filler/fryingpan02a.jpg","z"
"F","F","F","The dartboard is on the wall.","STI_EXP02/Filler/hangar.jpg","z"
"F","F","F","The brand new cup is on the kitchen table.","STI_EXP02/Filler/kiwi03.jpg","z"
"F","F","F","The shrimp is in the aquarium.","STI_EXP02/Filler/laptopopen.jpg","z"
"F","F","F","The tooth is in the iron dish.","STI_EXP02/Filler/lighthouse.jpg","z"
"F","F","F","The telephone is on the short table.","STI_EXP02/Filler/Generic_High_Speed_Train_01.jpg","z"
"F","F","F","The folder is on the shelf.","STI_EXP02/Filler/mattress.jpg","z"
"F","F","F","The ballon is in the kid's hand.","STI_EXP02/Filler/pill.jpg","z"
"F","F","F","The couch is on the wall.","STI_EXP02/Filler/ribbon04.jpg","z"
"F","F","F","The basketball hoop is in the field.","STI_EXP02/Filler/rubikcube.jpg","z"
"F","F","F","The book shelf stands on the floor.","STI_EXP02/Filler/sailboat.jpg","z"
"F","F","F","The lamp is settled under the celing.","STI_EXP02/Filler/scrubbingbrush05b.jpg","z"
"F","F","F","The office desk is in the office.","STI_EXP02/Filler/solderingiron.jpg","z"
"F","F","F","The printer is sending copies out.","STI_EXP02/Filler/spatula04.jpg","z"
"F","F","F","The table tennis is beside myself.","STI_EXP02/Filler/staple.jpg","z"
"F","F","F","The dog house is beside the door.","STI_EXP02/Filler/strap.jpg","z"
"F","F","F","The boat is sailing near the beach.","STI_EXP02/Filler/tv.jpg","z"
"F","F","F","The cabbage is on the shelf in the supermarket.","STI_EXP02/Filler/umbrellaopen.jpg","z"
"F","F","F","The pinboard is on the desk table.","STI_EXP02/Filler/uprightpiano01.jpg","z"
"F","F","F","The toy dinosaur stands on the groud.","STI_EXP02/Filler/usbkey.jpg","z"
"F","F","F","The pork is being shown by the magician.","STI_EXP02/Filler/weight01.jpg","z"
"F","F","F","The stopping watch is being used by the coach.","STI_EXP02/Filler/wheel01.jpg","z"
"F","F","F","The container is in the field.","STI_EXP02/Filler/woodboard.jpg","z"
